Gene name,chromosome,tss_loc,gene_symbol,gene_ensembl_id
IFNE,9,21482313,IFNE,ENSG00000184995
IFNG,12,68159740,IFNG,ENSG00000111537
IFNG-AS1,12,67989446,IFNG-AS1,ENSG00000255733
IFNGR1,6,137219449,IFNGR1,ENSG00000027697
IFNGR2,21,5408,IFNGR2,ENSG00000159128
IFNK,9,27524290,IFNK,ENSG00000147896
IFNL1,19,76789,IFNL1,ENSG00000182393
IFNL2,HG2569_PATCH,48778,IFNL2,ENSG00000291875
IFNL3,HG2569_PATCH,39245250,IFNL3,ENSG00000291876
IFNL3P1,19,39237293,IFNL3P1,ENSG00000268510
IFNL4,HG2569_PATCH,39248856,IFNL4,ENSG00000292250
IFNL4P1,19,44764,IFNL4P1,ENSG00000272311
IFNLR1,1,24187959,IFNLR1,ENSG00000185436
IFNNP1,9,21059323,IFNNP1,ENSG00000230208
IFNW1,9,21141832,IFNW1,ENSG00000177047
IFNWP15,9,21179188,IFNWP15,ENSG00000232281
IFNWP18,9,21209779,IFNWP18,ENSG00000223684
IFNWP19,9,21455484,IFNWP19,ENSG00000238271
IFNWP2,9,21420234,IFNWP2,ENSG00000237691
IFNWP4,9,21106543,IFNWP4,ENSG00000225027
IFNWP5,9,21231853,IFNWP5,ENSG00000232138
IFNWP9,9,21191244,IFNWP9,ENSG00000226597
IFRD1,7,112422887,IFRD1,ENSG00000006652
IFRD2,3,50292918,IFRD2,ENSG00000214706
IFT122,3,129429607,IFT122,ENSG00000163913
IFT122P1,3,12850659,IFT122P1,ENSG00000250939
IFT122P2,3,129381298,IFT122P2,ENSG00000244932
IFT140,16,1612072,IFT140,ENSG00000187535
IFT172,2,27489805,IFT172,ENSG00000138002
IFT20,17,28335489,IFT20,ENSG00000109083
IFT22,7,101321823,IFT22,ENSG00000128581
IFT25,1,53945699,IFT25,ENSG00000081870
IFT27,22,36776256,IFT27,ENSG00000100360
IFT43,14,75902136,IFT43,ENSG00000119650
IFT46,11,118572970,IFT46,ENSG00000118096
IFT52,20,43590937,IFT52,ENSG00000101052
IFT56,7,139133744,IFT56,ENSG00000105948
IFT57,3,108222435,IFT57,ENSG00000114446
IFT57P1,12,28164958,IFT57P1,ENSG00000255951
IFT70A,2,177618742,IFT70A,ENSG00000197557
IFT70B,2,177552796,IFT70B,ENSG00000196659
IFT74,9,26947039,IFT74,ENSG00000096872
IFT74-AS1,9,26956701,IFT74-AS1,ENSG00000234676
IFT80,3,160399880,IFT80,ENSG00000068885
IFT81,12,110124335,IFT81,ENSG00000122970
IFT88,13,20567138,IFT88,ENSG00000032742
IFTAP,11,36594369,IFTAP,ENSG00000166352
IGBP1,X,70133447,IGBP1,ENSG00000089289
IGBP1-AS1,X,70165206,IGBP1-AS1,ENSG00000203588
IGBP1-AS2,X,70149654,IGBP1-AS2,ENSG00000220925
IGBP1C,17,58692045,IGBP1C,ENSG00000266826
IGBP1P1,14,34939324,IGBP1P1,ENSG00000226677
IGBP1P3,3,32621902,IGBP1P3,ENSG00000231552
IGBP1P4,4,82402456,IGBP1P4,ENSG00000250325
IGBP1P5,4,27585145,IGBP1P5,ENSG00000250858
IGDCC3,15,65378002,IGDCC3,ENSG00000174498
IGDCC4,15,65422947,IGDCC4,ENSG00000103742
IGF1,12,102481744,IGF1,ENSG00000017427
IGF1R,15,98648539,IGF1R,ENSG00000140443
IGF2,11,2158391,IGF2,ENSG00000167244
IGF2-AS,11,2140501,IGF2-AS,ENSG00000099869
IGF2BP1,17,48997385,IGF2BP1,ENSG00000159217
IGF2BP2,3,185825042,IGF2BP2,ENSG00000073792
IGF2BP2-AS1,3,185712528,IGF2BP2-AS1,ENSG00000163915
IGF2BP3,7,23470491,IGF2BP3,ENSG00000136231
IGF2R,6,159969082,IGF2R,ENSG00000197081
IGFALS,16,1794971,IGFALS,ENSG00000099769
IGFBP1,7,45888360,IGFBP1,ENSG00000146678
IGFBP2,2,216632828,IGFBP2,ENSG00000115457
IGFBP3,7,45921874,IGFBP3,ENSG00000146674
IGFBP4,17,40443450,IGFBP4,ENSG00000141753
IGFBP5,2,216695549,IGFBP5,ENSG00000115461
IGFBP6,12,53097436,IGFBP6,ENSG00000167779
IGFBP7,4,57110385,IGFBP7,ENSG00000163453
IGFBP7-AS1,4,57109736,IGFBP7-AS1,ENSG00000245067
IGFBPL1,9,38424454,IGFBPL1,ENSG00000137142
IGFL1,19,46229742,IGFL1,ENSG00000188293
IGFL1P1,19,46196238,IGFL1P1,ENSG00000268879
IGFL1P2,19,46260858,IGFL1P2,ENSG00000268238
IGFL2,19,46143106,IGFL2,ENSG00000204866
IGFL2-AS1,19,46203163,IGFL2-AS1,ENSG00000268621
IGFL3,19,46124688,IGFL3,ENSG00000188624
IGFL4,19,46077118,IGFL4,ENSG00000204869
IGFLR1,19,35742453,IGFLR1,ENSG00000126246
IGFN1,1,201190824,IGFN1,ENSG00000163395
IGHA1,HSCHR14_3_CTG1,105708665,IGHA1,ENSG00000282633
IGHA2,HSCHR14_3_CTG1,105588395,IGHA2,ENSG00000276173
IGHD,HSCHR14_3_CTG1,105845677,IGHD,ENSG00000278801
IGHD1-1,HSCHR14_3_CTG1,105919518,IGHD1-1,ENSG00000282714
IGHD1-14,HSCHR14_3_CTG1,105900654,IGHD1-14,ENSG00000282736
IGHD1-20,HSCHR14_3_CTG1,105891207,IGHD1-20,ENSG00000282592
IGHD1-26,HSCHR14_3_CTG1,105881053,IGHD1-26,ENSG00000282323
IGHD1-7,HSCHR14_3_CTG1,105909923,IGHD1-7,ENSG00000282495
IGHD1OR15-1A,15,20011169,IGHD1OR15-1A,ENSG00000271336
IGHD1OR15-1B,15,21017816,IGHD1OR15-1B,ENSG00000270185
IGHD2-15,HSCHR14_3_CTG1,105897987,IGHD2-15,ENSG00000282818
IGHD2-2,HSCHR14_3_CTG1,105916856,IGHD2-2,ENSG00000282578
IGHD2-21,HSCHR14_3_CTG1,105888578,IGHD2-21,ENSG00000281984
IGHD2-8,HSCHR14_3_CTG1,105907241,IGHD2-8,ENSG00000282132
IGHD2OR15-2A,15,20008432,IGHD2OR15-2A,ENSG00000282599
IGHD2OR15-2B,15,21015078,IGHD2OR15-2B,ENSG00000282268
IGHD3-10,HSCHR14_3_CTG1,105904527,IGHD3-10,ENSG00000282373
IGHD3-16,HSCHR14_3_CTG1,105895670,IGHD3-16,ENSG00000282232
IGHD3-22,HSCHR14_3_CTG1,105886061,IGHD3-22,ENSG00000282396
IGHD3-3,HSCHR14_3_CTG1,105914389,IGHD3-3,ENSG00000282754
IGHD3-9,HSCHR14_3_CTG1,105904711,IGHD3-9,ENSG00000281939
IGHD3OR15-3A,15,20005935,IGHD3OR15-3A,ENSG00000282520
IGHD3OR15-3B,15,21012589,IGHD3OR15-3B,ENSG00000282089
IGHD4-11,HSCHR14_3_CTG1,105903631,IGHD4-11,ENSG00000281940
IGHD4-17,HSCHR14_3_CTG1,105894523,IGHD4-17,ENSG00000282274
IGHD4-23,HSCHR14_3_CTG1,105884888,IGHD4-23,ENSG00000282640
IGHD4-4,HSCHR14_3_CTG1,105913237,IGHD4-4,ENSG00000282227
IGHD4OR15-4A,15,20004815,IGHD4OR15-4A,ENSG00000271317
IGHD4OR15-4B,15,21011469,IGHD4OR15-4B,ENSG00000270451
IGHD5-12,HSCHR14_3_CTG1,105902671,IGHD5-12,ENSG00000282102
IGHD5-18,HSCHR14_3_CTG1,105893561,IGHD5-18,ENSG00000282346
IGHD5-24,HSCHR14_3_CTG1,105883922,IGHD5-24,ENSG00000282674
IGHD5-5,HSCHR14_3_CTG1,105912276,IGHD5-5,ENSG00000282769
IGHD5OR15-5A,15,20003862,IGHD5OR15-5A,ENSG00000270961
IGHD5OR15-5B,15,21010516,IGHD5OR15-5B,ENSG00000270824
IGHD6-13,HSCHR14_3_CTG1,105901162,IGHD6-13,ENSG00000282042
IGHD6-19,HSCHR14_3_CTG1,105891719,IGHD6-19,ENSG00000282487
IGHD6-25,HSCHR14_3_CTG1,105881556,IGHD6-25,ENSG00000282724
IGHD6-6,HSCHR14_3_CTG1,105910427,IGHD6-6,ENSG00000282010
IGHD7-27,HSCHR14_3_CTG1,105865561,IGHD7-27,ENSG00000282455
IGHE,HSCHR14_3_CTG1,105601728,IGHE,ENSG00000276192
IGHEP1,HSCHR14_3_CTG1,105722527,IGHEP1,ENSG00000281947
IGHEP2,9,5113549,IGHEP2,ENSG00000254017
IGHG1,HSCHR14_3_CTG1,105743071,IGHG1,ENSG00000277633
IGHG2,HSCHR14_3_CTG1,105644790,IGHG2,ENSG00000274497
IGHG3,HSCHR14_3_CTG1,105771405,IGHG3,ENSG00000282184
IGHG4,HSCHR14_3_CTG1,105626066,IGHG4,ENSG00000277016
IGHGP,14,105669843,IGHGP,ENSG00000253755
IGHJ1,HSCHR14_3_CTG1,105865458,IGHJ1,ENSG00000282409
IGHJ1P,HSCHR14_3_CTG1,105865678,IGHJ1P,ENSG00000282672
IGHJ2,HSCHR14_3_CTG1,105865250,IGHJ2,ENSG00000282342
IGHJ2P,HSCHR14_3_CTG1,105864852,IGHJ2P,ENSG00000282778
IGHJ3,HSCHR14_3_CTG1,105864635,IGHJ3,ENSG00000282471
IGHJ3P,HSCHR14_3_CTG1,105863465,IGHJ3P,ENSG00000282541
IGHJ4,HSCHR14_3_CTG1,105864260,IGHJ4,ENSG00000282065
IGHJ5,HSCHR14_3_CTG1,105863862,IGHJ5,ENSG00000282615
IGHJ6,HSCHR14_3_CTG1,105863258,IGHJ6,ENSG00000282797
IGHM,HSCHR14_3_CTG1,105856218,IGHM,ENSG00000282657
IGHMBP2,11,68903863,IGHMBP2,ENSG00000132740
IGHV1-12,14,106122709,IGHV1-12,ENSG00000254174
IGHV1-14,14,106146131,IGHV1-14,ENSG00000253709
IGHV1-17,14,106174760,IGHV1-17,ENSG00000254046
IGHV1-18,14,106185394,IGHV1-18,ENSG00000211945
IGHV1-2,HSCHR14_3_CTG1,105987083,IGHV1-2,ENSG00000282550
IGHV1-24,14,106277043,IGHV1-24,ENSG00000211950
IGHV1-3,HSCHR14_3_CTG1,106005574,IGHV1-3,ENSG00000282213
IGHV1-45,HSCHR14_3_CTG1,106507491,IGHV1-45,ENSG00000282776
IGHV1-46,HSCHR14_3_CTG1,106511856,IGHV1-46,ENSG00000282131
IGHV1-58,HSCHR14_3_CTG1,106622855,IGHV1-58,ENSG00000282337
IGHV1-67,HSCHR14_3_CTG1,106681042,IGHV1-67,ENSG00000282439
IGHV1-68,HSCHR14_3_CTG1,106704286,IGHV1-68,ENSG00000282055
IGHV1-69,HSCHR14_3_CTG1,106715181,IGHV1-69,ENSG00000282350
IGHV1-69-2,HSCHR14_3_CTG1,106737547,IGHV1-69-2,ENSG00000275148
IGHV1-69D,HSCHR14_3_CTG1,106762588,IGHV1-69D,ENSG00000282399
IGHV1OR15-1,15,22160868,IGHV1OR15-1,ENSG00000270505
IGHV1OR15-2,15,19973218,IGHV1OR15-2,ENSG00000259337
IGHV1OR15-3,15,22178542,IGHV1OR15-3,ENSG00000271288
IGHV1OR15-4,15,22195317,IGHV1OR15-4,ENSG00000270356
IGHV1OR15-6,15,20639890,IGHV1OR15-6,ENSG00000270685
IGHV1OR15-9,15,19965101,IGHV1OR15-9,ENSG00000188403
IGHV1OR16-1,16,32034853,IGHV1OR16-1,ENSG00000261704
IGHV1OR16-2,16,32978461,IGHV1OR16-2,ENSG00000259852
IGHV1OR16-3,16,32059084,IGHV1OR16-3,ENSG00000260048
IGHV1OR16-4,16,33002333,IGHV1OR16-4,ENSG00000259997
IGHV1OR21-1,21,10649835,IGHV1OR21-1,ENSG00000277282
IGHV2-26,14,106301862,IGHV2-26,ENSG00000211951
IGHV2-5,HSCHR14_3_CTG1,106038365,IGHV2-5,ENSG00000277318
IGHV2-70,HSCHR14_3_CTG1,106771020,IGHV2-70,ENSG00000282453
IGHV2-70D,HSCHR14_3_CTG1,106724093,IGHV2-70D,ENSG00000282482
IGHV2OR16-5,16,32847713,IGHV2OR16-5,ENSG00000259303
IGHV3-11,14,106117204,IGHV3-11,ENSG00000211941
IGHV3-13,14,106130072,IGHV3-13,ENSG00000211942
IGHV3-15,14,106154163,IGHV3-15,ENSG00000211943
IGHV3-16,14,106165730,IGHV3-16,ENSG00000211944
IGHV3-19,14,106196990,IGHV3-19,ENSG00000253883
IGHV3-20,14,106211453,IGHV3-20,ENSG00000211946
IGHV3-21,14,106235594,IGHV3-21,ENSG00000211947
IGHV3-22,14,106258223,IGHV3-22,ENSG00000253957
IGHV3-23,14,106269140,IGHV3-23,ENSG00000211949
IGHV3-25,14,106289479,IGHV3-25,ENSG00000253441
IGHV3-29,14,106356591,IGHV3-29,ENSG00000270474
IGHV3-30,14,106335613,IGHV3-30,ENSG00000270550
IGHV3-30-2,14,106344833,IGHV3-30-2,ENSG00000253587
IGHV3-32,14,106331563,IGHV3-32,ENSG00000254289
IGHV3-33,14,106360324,IGHV3-33,ENSG00000211955
IGHV3-33-2,14,106369546,IGHV3-33-2,ENSG00000253440
IGHV3-35,14,106389858,IGHV3-35,ENSG00000211957
IGHV3-36,14,106393231,IGHV3-36,ENSG00000253240
IGHV3-37,14,106397114,IGHV3-37,ENSG00000253359
IGHV3-38,14,106411021,IGHV3-38,ENSG00000211958
IGHV3-41,HSCHR14_3_CTG1,106443583,IGHV3-41,ENSG00000282783
IGHV3-42,HSCHR14_3_CTG1,106463691,IGHV3-42,ENSG00000282180
IGHV3-43,HSCHR14_3_CTG1,106470800,IGHV3-43,ENSG00000282151
IGHV3-47,HSCHR14_3_CTG1,106519027,IGHV3-47,ENSG00000282398
IGHV3-48,HSCHR14_3_CTG1,106538344,IGHV3-48,ENSG00000282627
IGHV3-49,HSCHR14_3_CTG1,106557477,IGHV3-49,ENSG00000275316
IGHV3-50,HSCHR14_3_CTG1,106566555,IGHV3-50,ENSG00000282138
IGHV3-52,HSCHR14_3_CTG1,106586826,IGHV3-52,ENSG00000282188
IGHV3-53,HSCHR14_3_CTG1,106593347,IGHV3-53,ENSG00000282593
IGHV3-54,HSCHR14_3_CTG1,106601792,IGHV3-54,ENSG00000282383
IGHV3-57,HSCHR14_3_CTG1,106619173,IGHV3-57,ENSG00000282794
IGHV3-6,HSCHR14_3_CTG1,106055998,IGHV3-6,ENSG00000281944
IGHV3-60,HSCHR14_3_CTG1,106631653,IGHV3-60,ENSG00000282586
IGHV3-62,HSCHR14_3_CTG1,106643585,IGHV3-62,ENSG00000282414
IGHV3-63,HSCHR14_3_CTG1,106652681,IGHV3-63,ENSG00000282560
IGHV3-64,HSCHR14_3_CTG1,106658258,IGHV3-64,ENSG00000274236
IGHV3-64D,14,106088573,IGHV3-64D,ENSG00000282639
IGHV3-65,HSCHR14_3_CTG1,106666532,IGHV3-65,ENSG00000282821
IGHV3-66,HSCHR14_3_CTG1,106675544,IGHV3-66,ENSG00000282045
IGHV3-69-1,HSCHR14_3_CTG1,106728615,IGHV3-69-1,ENSG00000282421
IGHV3-7,HSCHR14_3_CTG1,106062683,IGHV3-7,ENSG00000282211
IGHV3-71,HSCHR14_3_CTG1,106775618,IGHV3-71,ENSG00000282679
IGHV3-72,HSCHR14_3_CTG1,106791233,IGHV3-72,ENSG00000278042
IGHV3-73,HSCHR14_3_CTG1,106803233,IGHV3-73,ENSG00000273539
IGHV3-74,HSCHR14_3_CTG1,106811131,IGHV3-74,ENSG00000282305
IGHV3-75,HSCHR14_3_CTG1,106824147,IGHV3-75,ENSG00000276060
IGHV3-76,HSCHR14_3_CTG1,106828163,IGHV3-76,ENSG00000281966
IGHV3-79,14,106868092,IGHV3-79,ENSG00000275747
IGHV3OR15-7,15,19988117,IGHV3OR15-7,ENSG00000259490
IGHV3OR16-10,16,32995048,IGHV3OR16-10,ENSG00000233732
IGHV3OR16-11,16,33859352,IGHV3OR16-11,ENSG00000270318
IGHV3OR16-12,16,33802764,IGHV3OR16-12,ENSG00000270467
IGHV3OR16-13,16,33827214,IGHV3OR16-13,ENSG00000271178
IGHV3OR16-15,16,32903442,IGHV3OR16-15,ENSG00000261834
IGHV3OR16-16,16,33950420,IGHV3OR16-16,ENSG00000259842
IGHV3OR16-17,16,33845229,IGHV3OR16-17,ENSG00000259680
IGHV3OR16-6,16,32915074,IGHV3OR16-6,ENSG00000270864
IGHV3OR16-7,16,33938799,IGHV3OR16-7,ENSG00000271620
IGHV3OR16-8,16,33009175,IGHV3OR16-8,ENSG00000271130
IGHV3OR16-9,16,32066065,IGHV3OR16-9,ENSG00000270472
IGHV4-28,14,106324760,IGHV4-28,ENSG00000211952
IGHV4-31,14,106349792,IGHV4-31,ENSG00000231475
IGHV4-34,14,106374145,IGHV4-34,ENSG00000211956
IGHV4-39,HSCHR14_3_CTG1,106422218,IGHV4-39,ENSG00000282579
IGHV4-4,HSCHR14_3_CTG1,106012420,IGHV4-4,ENSG00000282223
IGHV4-55,HSCHR14_3_CTG1,106606551,IGHV4-55,ENSG00000282616
IGHV4-59,HSCHR14_3_CTG1,106627825,IGHV4-59,ENSG00000282691
IGHV4-61,HSCHR14_3_CTG1,106639657,IGHV4-61,ENSG00000282451
IGHV4-80,14,106873186,IGHV4-80,ENSG00000283906
IGHV4OR15-8,15,22185402,IGHV4OR15-8,ENSG00000259261
IGHV5-10-1,14,106108464,IGHV5-10-1,ENSG00000282651
IGHV5-51,HSCHR14_3_CTG1,106579236,IGHV5-51,ENSG00000277574
IGHV5-78,HSCHR14_3_CTG1,106851417,IGHV5-78,ENSG00000276708
IGHV6-1,HSCHR14_3_CTG1,105940253,IGHV6-1,ENSG00000282745
IGHV7-27,14,106318236,IGHV7-27,ENSG00000254326
IGHV7-34-1,14,106377733,IGHV7-34-1,ENSG00000253325
IGHV7-4-1,14,106025630,IGHV7-4-1,ENSG00000282122
IGHV7-40,HSCHR14_3_CTG1,106425654,IGHV7-40,ENSG00000282194
IGHV7-56,HSCHR14_3_CTG1,106610196,IGHV7-56,ENSG00000282504
IGHV7-81,14,106875071,IGHV7-81,ENSG00000211979
IGHV8-51-1,HSCHR14_3_CTG1,106583807,IGHV8-51-1,ENSG00000282294
IGHVII-1-1,HSCHR14_3_CTG1,105945389,IGHVII-1-1,ENSG00000282197
IGHVII-15-1,14,106163802,IGHVII-15-1,ENSG00000253458
IGHVII-22-1,14,106263626,IGHVII-22-1,ENSG00000253345
IGHVII-26-2,14,106314975,IGHVII-26-2,ENSG00000253482
IGHVII-28-1,14,106329684,IGHVII-28-1,ENSG00000253149
IGHVII-30-1,14,106342980,IGHVII-30-1,ENSG00000253491
IGHVII-30-21,14,106354704,IGHVII-30-21,ENSG00000283607
IGHVII-33-1,14,106367664,IGHVII-33-1,ENSG00000254203
IGHVII-40-1,HSCHR14_3_CTG1,106441007,IGHVII-40-1,ENSG00000282292
IGHVII-43-1,14,106473000,IGHVII-43-1,ENSG00000283195
IGHVII-44-2,HSCHR14_3_CTG1,106494383,IGHVII-44-2,ENSG00000281956
IGHVII-46-1,HSCHR14_3_CTG1,106515854,IGHVII-46-1,ENSG00000282196
IGHVII-49-1,HSCHR14_3_CTG1,106564598,IGHVII-49-1,ENSG00000282465
IGHVII-51-2,HSCHR14_3_CTG1,106584976,IGHVII-51-2,ENSG00000282312
IGHVII-53-1,HSCHR14_3_CTG1,106599924,IGHVII-53-1,ENSG00000281923
IGHVII-60-1,HSCHR14_3_CTG1,106637973,IGHVII-60-1,ENSG00000282082
IGHVII-62-1,HSCHR14_3_CTG1,106650785,IGHVII-62-1,ENSG00000282099
IGHVII-65-1,HSCHR14_3_CTG1,106672073,IGHVII-65-1,ENSG00000282018
IGHVII-67-1,HSCHR14_3_CTG1,106686562,IGHVII-67-1,ENSG00000282652
IGHVII-74-1,HSCHR14_3_CTG1,106821414,IGHVII-74-1,ENSG00000282186
IGHVII-78-1,14,106865895,IGHVII-78-1,ENSG00000253674
IGHVIII-11-1,14,106120473,IGHVIII-11-1,ENSG00000254215
IGHVIII-13-1,14,106142577,IGHVIII-13-1,ENSG00000253412
IGHVIII-16-1,14,106171052,IGHVIII-16-1,ENSG00000283948
IGHVIII-2-1,HSCHR14_3_CTG1,106001824,IGHVIII-2-1,ENSG00000282108
IGHVIII-22-2,14,106264715,IGHVIII-22-2,ENSG00000254045
IGHVIII-25-1,14,106293808,IGHVIII-25-1,ENSG00000253367
IGHVIII-26-1,14,106309666,IGHVIII-26-1,ENSG00000253462
IGHVIII-38-1,14,106418299,IGHVIII-38-1,ENSG00000253989
IGHVIII-44,HSCHR14_3_CTG1,106478393,IGHVIII-44,ENSG00000282802
IGHVIII-47-1,HSCHR14_3_CTG1,106531471,IGHVIII-47-1,ENSG00000282708
IGHVIII-5-1,HSCHR14_3_CTG1,106039764,IGHVIII-5-1,ENSG00000282066
IGHVIII-5-2,HSCHR14_3_CTG1,106045860,IGHVIII-5-2,ENSG00000282139
IGHVIII-67-2,HSCHR14_3_CTG1,106687200,IGHVIII-67-2,ENSG00000282016
IGHVIII-67-3,HSCHR14_3_CTG1,106692888,IGHVIII-67-3,ENSG00000282161
IGHVIII-67-4,HSCHR14_3_CTG1,106695397,IGHVIII-67-4,ENSG00000282808
IGHVIII-76-1,HSCHR14_3_CTG1,106832052,IGHVIII-76-1,ENSG00000282473
IGHVIII-82,14,106879812,IGHVIII-82,ENSG00000253303
IGHVIV-44-1,HSCHR14_3_CTG1,106489756,IGHVIV-44-1,ENSG00000282553
IGIP,5,140125937,IGIP,ENSG00000182700
IGKC,2,88857683,IGKC,ENSG00000211592
IGKJ1,2,88861923,IGKJ1,ENSG00000211597
IGKJ2,2,88861563,IGKJ2,ENSG00000211596
IGKJ3,2,88861258,IGKJ3,ENSG00000211595
IGKJ4,2,88860922,IGKJ4,ENSG00000211594
IGKJ5,2,88860605,IGKJ5,ENSG00000211593
IGKV1-12,HG2290_PATCH,89040745,IGKV1-12,ENSG00000282694
IGKV1-13,HG2290_PATCH,89046466,IGKV1-13,ENSG00000282603
IGKV1-16,HG2290_PATCH,89100361,IGKV1-16,ENSG00000282282
IGKV1-17,HG2290_PATCH,89117844,IGKV1-17,ENSG00000281978
IGKV1-22,HG2290_PATCH,89171212,IGKV1-22,ENSG00000282762
IGKV1-27,HG2290_PATCH,89213928,IGKV1-27,ENSG00000282666
IGKV1-32,HG2290_PATCH,89254015,IGKV1-32,ENSG00000282571
IGKV1-33,HG2290_PATCH,89268506,IGKV1-33,ENSG00000282811
IGKV1-35,HG2290_PATCH,89286973,IGKV1-35,ENSG00000282157
IGKV1-37,HG2290_PATCH,89297785,IGKV1-37,ENSG00000282394
IGKV1-39,HG2290_PATCH,89320146,IGKV1-39,ENSG00000282120
IGKV1-5,HG2290_PATCH,88947957,IGKV1-5,ENSG00000282801
IGKV1-6,HG2290_PATCH,88966767,IGKV1-6,ENSG00000282163
IGKV1-8,HG2290_PATCH,88992931,IGKV1-8,ENSG00000283113
IGKV1-9,HG2290_PATCH,89010515,IGKV1-9,ENSG00000282758
IGKV1D-12,2,90159840,IGKV1D-12,ENSG00000278857
IGKV1D-13,2,90154073,IGKV1D-13,ENSG00000276566
IGKV1D-16,2,90100236,IGKV1D-16,ENSG00000241244
IGKV1D-17,2,90082635,IGKV1D-17,ENSG00000242766
IGKV1D-22,2,90010741,IGKV1D-22,ENSG00000253365
IGKV1D-27,2,89968867,IGKV1D-27,ENSG00000224607
IGKV1D-32,2,89928422,IGKV1D-32,ENSG00000253191
IGKV1D-33,2,89913982,IGKV1D-33,ENSG00000239975
IGKV1D-35,2,89895502,IGKV1D-35,ENSG00000232747
IGKV1D-37,2,89884740,IGKV1D-37,ENSG00000250036
IGKV1D-39,2,89862482,IGKV1D-39,ENSG00000251546
IGKV1D-42,2,90190193,IGKV1D-42,ENSG00000211633
IGKV1D-43,2,90209873,IGKV1D-43,ENSG00000242580
IGKV1D-8,HSCHR2_2_CTG7,2391,IGKV1D-8,ENSG00000281078
IGKV1OR-2,9,64765535,IGKV1OR-2,ENSG00000156755
IGKV1OR-3,9,65770955,IGKV1OR-3,ENSG00000204776
IGKV1OR1-1,1,144085628,IGKV1OR1-1,ENSG00000276674
IGKV1OR10-1,10,83193,IGKV1OR10-1,ENSG00000237592
IGKV1OR2-1,2,91817771,IGKV1OR2-1,ENSG00000235235
IGKV1OR2-108,2,113406396,IGKV1OR2-108,ENSG00000231292
IGKV1OR2-11,HG2275_PATCH,360780,IGKV1OR2-11,ENSG00000291592
IGKV1OR2-118,HSCHR2_1_CTG7,90315836,IGKV1OR2-118,ENSG00000281668
IGKV1OR2-2,2,92035000,IGKV1OR2-2,ENSG00000223816
IGKV1OR2-3,HG2275_PATCH,34826,IGKV1OR2-3,ENSG00000291576
IGKV1OR2-6,HG2275_PATCH,329757,IGKV1OR2-6,ENSG00000291589
IGKV1OR2-9,HG2275_PATCH,97322423,IGKV1OR2-9,ENSG00000291585
IGKV1OR22-1,22,16934003,IGKV1OR22-1,ENSG00000253481
IGKV1OR22-5,22,16904696,IGKV1OR22-5,ENSG00000230481
IGKV1OR9-1,9,65250826,IGKV1OR9-1,ENSG00000204780
IGKV1OR9-2,9,40642117,IGKV1OR9-2,ENSG00000225380
IGKV2-10,HG2290_PATCH,89020686,IGKV2-10,ENSG00000282248
IGKV2-14,HG2290_PATCH,89078784,IGKV2-14,ENSG00000282251
IGKV2-18,HG2290_PATCH,89129483,IGKV2-18,ENSG00000282200
IGKV2-19,HG2290_PATCH,89135257,IGKV2-19,ENSG00000282244
IGKV2-23,HG2290_PATCH,89172553,IGKV2-23,ENSG00000282093
IGKV2-24,HG2290_PATCH,89177160,IGKV2-24,ENSG00000282671
IGKV2-26,HG2290_PATCH,89196829,IGKV2-26,ENSG00000282622
IGKV2-28,HG2290_PATCH,89222461,IGKV2-28,ENSG00000282025
IGKV2-29,HG2290_PATCH,89234912,IGKV2-29,ENSG00000282635
IGKV2-30,HG2290_PATCH,89245596,IGKV2-30,ENSG00000281933
IGKV2-36,HG2290_PATCH,89295455,IGKV2-36,ENSG00000282646
IGKV2-38,HG2290_PATCH,89310144,IGKV2-38,ENSG00000282387
IGKV2-4,HG2290_PATCH,88932380,IGKV2-4,ENSG00000282448
IGKV2-40,HG2290_PATCH,89330429,IGKV2-40,ENSG00000282182
IGKV2D-10,2,90179889,IGKV2D-10,ENSG00000253906
IGKV2D-14,2,90121786,IGKV2D-14,ENSG00000254292
IGKV2D-18,2,90052581,IGKV2D-18,ENSG00000254220
IGKV2D-19,2,90046796,IGKV2D-19,ENSG00000253765
IGKV2D-23,2,90009402,IGKV2D-23,ENSG00000254345
IGKV2D-24,2,90004797,IGKV2D-24,ENSG00000241566
IGKV2D-26,2,89985922,IGKV2D-26,ENSG00000211623
IGKV2D-28,2,89959979,IGKV2D-28,ENSG00000242534
IGKV2D-29,2,89947512,IGKV2D-29,ENSG00000243264
IGKV2D-30,2,89936859,IGKV2D-30,ENSG00000239571
IGKV2D-36,2,89887022,IGKV2D-36,ENSG00000253127
IGKV2D-38,2,89872463,IGKV2D-38,ENSG00000254009
IGKV2D-40,2,89851758,IGKV2D-40,ENSG00000251039
IGKV2OR2-1,HG2275_PATCH,21286,IGKV2OR2-1,ENSG00000291573
IGKV2OR2-10,HG2275_PATCH,97331843,IGKV2OR2-10,ENSG00000291586
IGKV2OR2-2,HG2275_PATCH,25427,IGKV2OR2-2,ENSG00000291575
IGKV2OR2-7,HG2275_PATCH,347230,IGKV2OR2-7,ENSG00000291590
IGKV2OR2-7D,HG2275_PATCH,97335974,IGKV2OR2-7D,ENSG00000291587
IGKV2OR2-8,HG2275_PATCH,351372,IGKV2OR2-8,ENSG00000291591
IGKV2OR22-3,22,16922173,IGKV2OR22-3,ENSG00000253460
IGKV2OR22-4,22,16914981,IGKV2OR22-4,ENSG00000253691
